misc
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,32179970,"Phase-Contrast-Based Structure Retrieval Methods in Atomic Resolution Scanning Transmission Electron Microscopy – When They Hold and When They Don't","Phase-Contrast-Based Structure Retrieval Methods in Atomic Resolution Scanning Transmission Electron Microscopy – When They Hold and When They Don't","[Scott Findlay,Leslie Allen,Hamish Brown,Zhen Chen,Jim Ciston,Yuichi Ikuhara,Ryo Ishikawa,Colin Ophus,Gabriel Sánchez-Santolino,Takehito Seki,Naoya Shibata,Matthew Weyland]","[Scott Findlay,Leslie Allen,Hamish Brown,Zhen Chen,Jim Ciston,Yuichi Ikuhara,Ryo Ishikawa,Colin Ophus,Gabriel Sánchez-Santolino,Takehito Seki,Naoya Shibata,Matthew Weyland]",null,null,null,null,"Cambridge University Press (CUP)",2020-08,"Microscopy and Microanalysis","Microscopy and Microanalysis",26,S2,442,443,null,null,null,null,null,null,10.1017/s1431927620014683,1431-9276,1435-8115,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1431927620014683,null,false,disclosed
insert,merge,null,48076558,"DPC STEMを用いたGaN系半導体ヘテロ接合界面における電場定量観察法の開発","Quantitative electric field mapping in GaN/AlGaN heterostructures by DPC STEM","[遠山慧子,関岳人,蟹谷裕也,工藤喜弘,冨谷茂隆,幾原雄一,柴田直哉]","[遠山慧子,関岳人,蟹谷裕也,工藤喜弘,冨谷茂隆,幾原雄一,柴田直哉]",null,null,null,null,null,2020,日本セラミックス協会秋季シンポジウム講演予稿集(CD-ROM),日本セラミックス協会秋季シンポジウム講演予稿集(CD-ROM),33rd,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,36456417,"New Magnetic Structure Imaging Techniques in Polycrystalline Materials by DPC STEM","New Magnetic Structure Imaging Techniques in Polycrystalline Materials by DPC STEM","[Yoshiki O Murakami,Takehito Seki,Akihito Kinoshita,Tetsuya Shoji,Yuichi Ikuhara,Naoya Shibata]","[Yoshiki O Murakami,Takehito Seki,Akihito Kinoshita,Tetsuya Shoji,Yuichi Ikuhara,Naoya Shibata]",null,null,null,"Oxford University Press (OUP)","Oxford University Press (OUP)",2019-11-01,Microscopy,Microscopy,68,Supplement_1,i36,i36,null,null,null,null,null,null,10.1093/jmicro/dfz093,2050-5698,2050-5701,http://academic.oup.com/jmicro/article-pdf/68/Supplement_1/i36/32368462/dfz093.pdf,null,false,disclosed
insert,merge,null,32179946,"Light Element Imaging Technique at Low Dose Condition by Processing Simultaneously Obtained STEM Images Using a Segmented Detector","Light Element Imaging Technique at Low Dose Condition by Processing Simultaneously Obtained STEM Images Using a Segmented Detector","[Kousuke Ooe,Takehito Seki,Yuichi Ikuhara,Naoya Shibata]","[Kousuke Ooe,Takehito Seki,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,"Cambridge University Press (CUP)",2019-08,"Microscopy and Microanalysis","Microscopy and Microanalysis",25,S2,484,485,null,null,null,null,null,null,10.1017/s1431927619003155,1431-9276,1435-8115,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1431927619003155,null,false,disclosed
insert,merge,null,48076551,"DPC STEMを用いたGaN系半導体ヘテロ界面電場直接観察",null,"[遠山慧子,関岳人,蟹谷裕也,工藤喜弘,冨谷茂隆,幾原雄一,幾原雄一,柴田直哉,柴田直哉]",null,null,null,null,null,null,2019,応用物理学会秋季学術講演会講演予稿集(CD-ROM),null,80th,null,null,null,null,null,null,null,null,null,null,2758-4704,null,null,null,false,disclosed
insert,merge,null,32903137,"Anisotropic Atomic Electric Fields of Si Dopants in Monolayer Graphene","Anisotropic Atomic Electric Fields of Si Dopants in Monolayer Graphene","[R. Ishikawa,S. Findlay,T. Seki,G. Sanchez-Santolino,Y. Kohno,Y. Ikuhara,N. Shibata]","[R. Ishikawa,S. Findlay,T. Seki,G. Sanchez-Santolino,Y. Kohno,Y. Ikuhara,N. Shibata]",null,null,null,null,null,2019,"AMTC Letters","AMTC Letters",6,null,22,24,null,false,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,32185522,"Development of Magnetic Structure Imaging Techniques in Polycrystalline Materials by DPC STEM","Development of Magnetic Structure Imaging Techniques in Polycrystalline Materials by DPC STEM","[Y. Murakami,T. Seki,A. Kinoshita,T. Shoji,Y. Ikuhara,N. Shibata]","[Y. Murakami,T. Seki,A. Kinoshita,T. Shoji,Y. Ikuhara,N. Shibata]",null,null,null,null,null,2019,"AMTC Letters","AMTC Letters",6,null,48,49,eng,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,32185519,"Electric field quantification method for a p-n junctionElectric field quantification method for a p-n junction by DPC STEM by DPC STEM","Electric field quantification method for a p-n junction by DPC STEM","[S. Toyama,T. Seki,H. Sasaki,Y. Ikuhara,N. Shibata]","[S. Toyama,T. Seki,H. Sasaki,Y. Ikuhara,N. Shibata]",null,null,null,null,null,2019,"AMTC Letters","AMTC Letters",6,null,20,21,eng,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,32185514,"Low Dose STEM Imaging Technique for Light Element Atoms by Processing Images Simultaneously Obtained by a Segmented Detector","Low Dose STEM Imaging Technique for Light Element Atoms by Processing Images Simultaneously Obtained by a Segmented Detector","[K. Ooe,T. Seki,Y. Ikuhara,N. Shibata]","[K. Ooe,T. Seki,Y. Ikuhara,N. Shibata]",null,null,null,null,null,2019,"AMTC Letters",null,6,null,26,27,eng,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,32185511,"Iterative Potential Reconstruction Method based on DPC signal from thick specimens","Iterative Potential Reconstruction Method based on DPC signal from thick specimens","[T. Seki,Y. Ikuhara,N. Shibata]","[T. Seki,Y. Ikuhara,N. Shibata]",[lead],null,null,null,null,2019,"AMTC Letters","AMTC Letters",6,null,46,47,eng,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,32179923,"Iterative Algorithm of Atomic Potential Reconstruction Based on DPC Signal from Thick Specimens","Iterative Algorithm of Atomic Potential Reconstruction Based on DPC Signal from Thick Specimens","[Takehito Seki,Yuichi Ikuhara,Naoya Shibata]","[Takehito Seki,Yuichi Ikuhara,Naoya Shibata]",[lead],null,null,null,"Cambridge University Press (CUP)",2019,"Microscopy and Microanalysis","Microscopy and Microanalysis",25,S2,60,61,null,null,null,null,null,null,10.1017/s143192761900103x,1431-9276,1435-8115,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S143192761900103X,null,false,disclosed
insert,merge,null,24689092,"DPC STEMを用いた高分解能pn接合電場観察手法","Electric Field Observation Method for a p-n Junction by DPC STEM","[遠山 慧子,関 岳人,佐々木 宏和,幾原 雄一,柴田 直哉]","[Toyama Satoko,Seki Takehito,Sasaki Hirokazu,Ikuhara Yuichi,Shibata Naoya]",null,null,null,"公益社団法人 日本金属学会","The Japan Institute of Metals and Materials",2019,まてりあ,"Materia Japan",58,2,102,102,jpn,false,false,null,null,null,10.2320/materia.58.102,1340-2625,null,null,null,false,disclosed
insert,merge,null,24689091,"DPC STEMによる原子分解能電場観察","Electric Field Imaging at Atomic Resolution by DPC STEM","[関 岳人,Sánchez-Santolino Gabriel,石川 亮,Findlay Scott D.,幾原 雄一,柴田 直哉]","[Seki Takehito,Sánchez-Santolino Gabriel,Ishikawa Ryo,Findlay Scott D.,Ikuhara Yuichi,Shibata Naoya]",[lead],null,null,"公益社団法人 日本金属学会","The Japan Institute of Metals and Materials",2019,まてりあ,"Materia Japan",58,2,104,104,jpn,false,false,null,null,null,10.2320/materia.58.104,1340-2625,null,null,null,false,disclosed
insert,merge,null,32179979,"Numerical Procedures to determine Potential Distribution from Electronic Field Vectors observed in Differential Phase Contrast (DPC) imaging","Numerical Procedures to determine Potential Distribution from Electronic Field Vectors observed in Differential Phase Contrast (DPC) imaging","[Akimitsu Ishizuka,Masaaki Oka,Kazuo Ishizuka,Takehito Seki,Naoya Shibata]","[Akimitsu Ishizuka,Masaaki Oka,Kazuo Ishizuka,Takehito Seki,Naoya Shibata]",null,null,null,null,"Cambridge University Press (CUP)",2017-07,"Microscopy and Microanalysis","Microscopy and Microanalysis",23,S1,34,35,null,null,null,null,null,null,10.1017/s143192761700085x,1431-9276,1435-8115,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S143192761700085X,null,false,disclosed
insert,merge,null,27027667,"Quantitative Relation Between Differential Phase Contrast Images Obtained by Segmented and Pixelated Detectors","Quantitative Relation Between Differential Phase Contrast Images Obtained by Segmented and Pixelated Detectors","[Takehito Seki,Gabriel Sanchez-Santolino,Ryo Ishikawa,Yuichi Ikuhara,Naoya Shibata]","[Takehito Seki,Gabriel Sanchez-Santolino,Ryo Ishikawa,Yuichi Ikuhara,Naoya Shibata]",[lead],null,null,"Cambridge University Press ({CUP})","Cambridge University Press (CUP)",2017-07,"Microscopy and Microanalysis","Microscopy and Microanalysis",23,S1,440,441,null,false,false,null,null,null,10.1017/s1431927617002884,1431-9276,1435-8115,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1431927617002884,null,false,disclosed
insert,merge,null,24689093,原子分解能微分位相コントラストSTEM法の理論,"Theory of Atomic-Resolution Differential Phase Contrast STEM","[関 岳人,Sanchez-Santolino Gabriel,石川 亮,幾原 雄一,柴田 直哉]","[Seki Takehito,Sánchez-Santolino Gabriel,Ishikawa Ryo,Ikuhara Yuichi,Shibata Naoya]",null,<p>微分位相コントラスト法は，走査型透過電子顕微鏡法の一種であり，方位角方向に分割した検出器やピクセル型検出器を用いることで，試料各点における電子線の偏向量を計測し，試料内部の電磁場を実空間観察する手法である．この手法は，これまで主に中低倍（nmからサブμm）における材料内部の磁場構造観察に応用されてきたが，近年，この微分位相コントラスト法を原子分解能観察に応用することで，原子電場の直接観察が試みられている．本稿では，原子分解能微分位相コントラスト法の理論と今後の展望について紹介する．</p>,"<p>Differential phase contrast scanning transmission electron microscopy (DPC STEM) now gathers considerable attention because this technique allows us to directly visualize electromagnetic fields inside materials and devices. In recent years, DPC STEM has been applied to atomic-resolution STEM, and electric field inside atoms, that is atomic electric field, has been shown to be observable in real space. In the present report, we would like to summarize theoretical understanding of atomic-resolution DPC image formation mechanisms and how to quantify such local fields by using segmented and pixelated detectors by investigating phase contrast transfer functions.</p>","公益社団法人 日本顕微鏡学会","The Japanese Society of Microscopy",2017,顕微鏡,KENBIKYO,52,1,8,12,jpn,true,false,null,null,null,10.11410/kenbikyo.52.1_8,1349-0958,null,http://id.ndl.go.jp/bib/028287990,null,false,disclosed
insert,merge,null,32179990,"Direct Electromagnetic Structure Observation by Aberration-corrected Differential Phase Contrast Scanning Transmission Electron Microscopy","Direct Electromagnetic Structure Observation by Aberration-corrected Differential Phase Contrast Scanning Transmission Electron Microscopy","[N. Shibata,S.D. Findlay,T. Matsumoto,T. Seki,G. Sánchez-Santolino,Y. Kohno,H. Sawada,H. Sasaki,Y.G. So,R. Ishikawa,Y. Ikuhara]","[N. Shibata,S.D. Findlay,T. Matsumoto,T. Seki,G. Sánchez-Santolino,Y. Kohno,H. Sawada,H. Sasaki,Y.G. So,R. Ishikawa,Y. Ikuhara]",null,null,null,null,"Cambridge University Press (CUP)",2016-07,"Microscopy and Microanalysis","Microscopy and Microanalysis",22,S3,906,907,null,null,null,null,null,null,10.1017/s1431927616005377,1431-9276,1435-8115,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1431927616005377,null,false,disclosed
insert,merge,null,32179986,"Quantitative Atomic Resolution Differential Phase Contrast Imaging Using a Segmented Area All Field Detector","Quantitative Atomic Resolution Differential Phase Contrast Imaging Using a Segmented Area All Field Detector","[Gabriel Sanchez-Santolino,Takehito Seki,Nathan Lugg,Ryo Ishikawa,Daniel J. Taplin,Scott D. Findlay,Yuichi Ikuhara,Naoya Shibata]","[Gabriel Sanchez-Santolino,Takehito Seki,Nathan Lugg,Ryo Ishikawa,Daniel J. Taplin,Scott D. Findlay,Yuichi Ikuhara,Naoya Shibata]",null,null,null,null,"Cambridge University Press (CUP)",2016-07,"Microscopy and Microanalysis","Microscopy and Microanalysis",22,S3,504,505,null,null,null,null,null,null,10.1017/s1431927616003378,1431-9276,1435-8115,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1431927616003378,null,false,disclosed
insert,merge,null,32185531,"Differential Phase Contrast Imaging using a Segmented Detector","Differential Phase Contrast Imaging using a Segmented Detector","[D. J. Taplin,R. Ishikawa,T. Seki,H. Sawada,M. Weyland,N. Shibata,S. D. Findlay]","[D. J. Taplin,R. Ishikawa,T. Seki,H. Sawada,M. Weyland,N. Shibata,S. D. Findlay]",null,null,null,null,null,2016,"AMTC Letters","AMTC Letters",5,null,24,25,eng,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,32185528,"Characterization of Electromagnetic Fields by Atomic Resolution Differential Phase Contrast Scanning Transmission Electron Microscopy","Characterization of Electromagnetic Fields by Atomic Resolution Differential Phase Contrast Scanning Transmission Electron Microscopy","[G. Sanchez-Santolino,T. Seki,N.R. Lugg,R. Ishikawa,D.J. Taplin,S.D. Findlay,Y. Ikuhara,N. Shibata]","[G. Sanchez-Santolino,T. Seki,N.R. Lugg,R. Ishikawa,D.J. Taplin,S.D. Findlay,Y. Ikuhara,N. Shibata]",null,null,null,null,null,2016,"AMTC Letters","AMTC Letters",5,null,242,243,eng,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,24689075,"22aCE-4 Au-Ga-Yb系準結晶の作製","22aCE-4 Synthesis and magnetic properties of Au-Ga-Yb quasicrystal","[田中 祐二郎,関 岳人,柴田 直哉,藤井 武則,田村 隆治]","[Tanaka Y.,Seki T.,Shibata N.,Fujii T.,Tamura R.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2016,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",71,0,1779,1779,jpn,false,false,null,null,null,10.11316/jpsgaiyo.71.1.0_1779,2189-079X,null,null,null,false,closed
insert,merge,null,24689079,"22aCS-8 Mg-Al系立方対称準結晶への微量Zn添加の影響","22aCS-8 Zn doping effect in a cubic quasicrystal in Mg-Al alloys","[加藤 剛史,関 岳人,阿部 英司]","[Kato T.,Seki T.,Abe E.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2015,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",70,0,1671,1671,jpn,false,false,null,null,null,10.11316/jpsgaiyo.70.1.0_1671,2189-079X,null,null,null,false,closed
insert,merge,null,24689078,"22aCS-11 電子顕微鏡によるAl-Co-Ni巨大近似結晶の精密構造解析",null,"[関 岳人,長尾 佳祐,Oleynikov P.,阿部 英司]",null,null,null,null,"一般社団法人 日本物理学会",null,2015,日本物理学会講演概要集,null,70,0,1674,1674,jpn,false,false,null,null,null,10.11316/jpsgaiyo.70.1.0_1674,2189-079X,null,null,null,false,closed
insert,merge,null,24689077,"22aCS-10 STEM像多変量解析によるAl-Cu-Rh正十角形相の構造解析",null,"[関 岳人,大浦 将弥,阿部 英司]",null,null,null,null,"一般社団法人 日本物理学会",null,2015,日本物理学会講演概要集,null,70,0,1673,1673,jpn,false,false,null,null,null,10.11316/jpsgaiyo.70.1.0_1673,2189-079X,null,null,null,false,closed
insert,merge,null,24689076,"22pCH-5 STEM結像での電子channeling伝播における温度因子の影響","22pCH-5 Temperature-factor effect on electron channeling propagation in STEM imaging","[高梨 直人,関 岳人,阿部 英司]","[Takanashi N.,Seki T.,Abe E.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2015,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",70,0,2735,2735,jpn,false,false,null,null,null,10.11316/jpsgaiyo.70.1.0_2735,2189-079X,null,null,null,false,closed
insert,merge,null,32185607,"Direct observations of local electronic states in an Al-based quasicrystal by STEM-EELS","Direct observations of local electronic states in an Al-based quasicrystal by STEM-EELS","[Takehito Seki,Eiji Abe]","[Takehito Seki,Eiji Abe]",[lead],null,null,null,"Oxford University Press (OUP)",2014-11,Microscopy,Microscopy,63,"suppl 1",i17.2,i18,eng,null,null,null,null,null,10.1093/jmicro/dfu069,2050-5698,2050-5701,http://academic.oup.com/jmicro/article-pdf/63/suppl_1/i17/5858103/dfu069.pdf,null,false,disclosed
insert,merge,null,24689080,"30aCB-5 Mg-Al急冷合金に見出された立方対称準結晶II(30aCB 準結晶・金属間化合物(構造),領域6(金属(液体金属・準結晶)・低温(超低温・超伝導・密度波)))","30aCB-5 Cubic quasicrystal in a rapidly-solidified Mg-Al alloy II","[加藤 剛史,関 岳人,阿部 英司]","[Kato T.,Seki T.,Abe E.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2014,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",69,0,815,815,jpn,false,false,null,null,null,10.11316/jpsgaiyo.69.1.4.0_815_3,1342-8349,null,null,null,false,closed
insert,merge,null,24689083,"29pEP-6 STEM-EELS法によるAl基準結晶局所電子状態の検討II(29pEP 準結晶,領域6(金属,超低温,超伝導・密度波))","29pEP-6 STEM-EELS observations of electronic states in Al-based quasicrystals II","[関 岳人,阿部 英司]","[Seki T.,Abe E.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2013,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",68,0,896,896,jpn,false,false,null,null,null,10.11316/jpsgaiyo.68.1.4.0_896_2,1342-8349,null,null,null,false,closed
insert,merge,null,24689082,"25pDE-6 Mg-Al急冷合金に見出された立方対称準結晶(準結晶(構造),領域6(金属,超低温,超伝導・密度波))","Cubic quasicrystal in a rapidly-solidified Mg-Al alloy","[加藤 剛史,関 岳人,阿部 英司]","[Kato T.,Seki T.,Abe E.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2013,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",68,0,708,708,jpn,false,false,null,null,null,10.11316/jpsgaiyo.68.2.4.0_708_3,1342-8349,null,null,null,false,closed
insert,merge,null,24689081,"25pDE-9 STEM直接観察に基づく高次元解析によるAI-Ni-Co系一次元準結晶相の再検討(準結晶(構造),領域6(金属,超低温,超伝導・密度波))","Hyperspace analysis of 1D-quasicrystal based on STEM direct observations","[長尾 佳祐,関 岳人,阿部 英司]","[Nagao Keisuke,Seki Taketo,Abe Eiji]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2013,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",68,0,709,709,jpn,false,false,null,null,null,10.11316/jpsgaiyo.68.2.4.0_709_2,1342-8349,null,null,null,false,closed
insert,merge,null,24689085,"27aGF-7 角度分解STEMによるBTiRu近似結晶構造直接観察(27aGF 準結晶,領域6(金属,超低温,超伝導・密度波))","27aGF-7 Direct observation of BTiRu approximant by angle-resolved STEM","[倉井 毅,関 岳人,阿部 英司,宮崎 吉宣,木村 薫]","[Kurai T.,Seki T.,Abe E.,Miyazaki Y.,Kimura K.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2012,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",67,0,858,858,jpn,false,false,null,null,null,10.11316/jpsgaiyo.67.1.4.0_858_1,1342-8349,null,null,null,false,closed
insert,merge,null,24689084,"20aCA-7 STEM-EELS法によるAl基準結晶局所電子状態の検討(20aCA 準結晶,領域6(金属,超低温,超伝導・密度波))","20aCA-7 STEM-EELS observations of electronic states in Al-based quasicrystals","[関 岳人,阿部 英司]","[Seki T.,Abe E.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2012,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",67,0,739,739,jpn,false,false,null,null,null,10.11316/jpsgaiyo.67.2.4.0_739_4,1342-8349,null,null,null,false,closed
insert,merge,null,24689086,"27pEG-6 Al-Co系2元準結晶および近似結晶探索(27pEG 準結晶,領域6(金属,超低温,超伝導・密度波))","27pEG-6 Search for binary quasicrystals and approximants in Al-Co system","[関 岳人,阿部 英司,大橋 諭,蔡 安邦]","[Seki T.,Abe E.,Ohhashi S.,Tsai A. P.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2011,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",66,0,834,834,jpn,false,false,null,null,null,10.11316/jpsgaiyo.66.1.4.0_834_4,1342-8349,null,null,null,false,closed
insert,merge,null,32185535,"Quantitative Analysis of Point Defects in an Ideal Quasicrystal with Aberration- Corrected STEM and First-Principles Calculations","Quantitative Analysis of Point Defects in an Ideal Quasicrystal with Aberration- Corrected STEM and First-Principles Calculations","[T. Seki,E. Abe,S.J. Pennycook]","[T. Seki,E. Abe,S.J. Pennycook]",[lead],null,null,null,null,2010,"AMTC Letters","AMTC Letters",2,null,194,195,eng,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,24689087,"21pHY-9 第一原理計算によるAlNiCoクラスターの最適化II(21pHY 準結晶,領域6(金属,超低温,超伝導・密度波))","21pHY-9 Local atomic configuration of Al-Ni-Co decagonal clusters by first-principles calculations II","[関 岳人,阿部 英司,Pennycook S. J.]","[Seki T.,Abe E.,Pennycook S. J.]",null,null,null,"一般社団法人 日本物理学会","The Physical Society of Japan",2010,日本物理学会講演概要集,"Meeting Abstracts of the Physical Society of Japan",65,0,833,833,jpn,false,false,null,null,null,10.11316/jpsgaiyo.65.1.4.0_833_4,1342-8349,null,null,null,false,closed
