presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,53809031,"Development of a Method for Observing Local Atomic Vibrational Correlations Using 4D-STEM","Development of a Method for Observing Local Atomic Vibrational Correlations Using 4D-STEM","[Koudai Tabata\, Takehito Seki\, Naoya Shibata]","[Koudai Tabata\, Takehito Seki\, Naoya Shibata]","Gordon Research Conference: Transmission Electron Microscopy for Materials Research","Gordon Research Conference: Transmission Electron Microscopy for Materials Research",2026-02-19,null,null,false,eng,poster_presentation,null,null,"Pomona, US","Pomona, US",null,null,null,true,null,https://www.grc.org/transmission-electron-microscopy-for-materials-research-conference/2026/,null,false,closed
insert,merge,null,52075827,フェイゾン自由度によりエントロピー安定化された新奇動的粒界原子構造,フェイゾン自由度によりエントロピー安定化された新奇動的粒界原子構造,"[関 岳人\, 二塚 俊洋\, 新井 雅樹\, 松原 稜\, 森重 宣郷\, 柴田 直哉]","[関 岳人\, 二塚 俊洋\, 新井 雅樹\, 松原 稜\, 森重 宣郷\, 柴田 直哉]",準結晶研究会,準結晶研究会,2025-12-10,null,null,false,jpn,oral_presentation,null,null,"松江テルサ, 島根県","松江テルサ, 島根県",null,null,null,false,null,https://sites.google.com/view/ws-quasicrystals/,null,false,closed
insert,merge,null,52075825,STEM位相法の基礎,STEM位相法の基礎,"[関 岳人]","[関 岳人]",第40回分析電子顕微鏡討論会,第40回分析電子顕微鏡討論会,2025-12-04,null,null,true,jpn,invited_oral_presentation,null,null,オンライン,オンライン,null,null,null,false,null,https://sites.google.com/view/bunseki-touron-40/,null,false,disclosed
insert,merge,null,52075831,"4D STEMによる局所原子振動相関の直接観察","4D STEMによる局所原子振動相関の直接観察","[田畑 浩大\, 関 岳人\, 柴田 直哉]","[田畑 浩大\, 関 岳人\, 柴田 直哉]",日本顕微鏡学会第68回シンポジウム,日本顕微鏡学会第68回シンポジウム,2025-11-14,null,null,false,jpn,oral_presentation,null,null,"名古屋大学, 愛知県","名古屋大学, 愛知県",null,null,null,false,null,https://conference.wdc-jp.com/microscopy/sympo/68th/,null,false,closed
insert,merge,null,52075830,"4D STEM による局所原子振動直接観察法の開発","4D STEM による局所原子振動直接観察法の開発","[田畑 浩大\, 関 岳人\, 柴田 直哉]","[田畑 浩大\, 関 岳人\, 柴田 直哉]",柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,2025-10-17,null,null,false,jpn,oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,false,null,null,null,false,closed
insert,merge,null,52075829,Cryo-STEMを用いた生物試料観察手法の開発,Cryo-STEMを用いた生物試料観察手法の開発,"[遠山 慧子\, 浅野 雄哉\, Xuguang Jiang\, 関 岳人\, 吉川 雅英\, 柴田 直哉]","[遠山 慧子\, 浅野 雄哉\, Xuguang Jiang\, 関 岳人\, 吉川 雅英\, 柴田 直哉]",柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,2025-10-17,null,null,false,jpn,oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,false,null,null,null,false,closed
insert,merge,null,52075828,"tDPC STEMを用いた結晶界面の電磁場観察","tDPC STEMを用いた結晶界面の電磁場観察","[遠山 慧子\, 関 岳人\, 柴田 直哉]","[遠山 慧子\, 関 岳人\, 柴田 直哉]",柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,2025-10-17,null,null,false,jpn,oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,false,null,null,null,false,closed
insert,merge,null,52075826,磁場フリーSTEMが拓く鉄鋼粒界の原子構造と動的ゆらぎ,磁場フリーSTEMが拓く鉄鋼粒界の原子構造と動的ゆらぎ,"[関 岳人\, 二塚 俊洋\, 新井 雅樹\, 松原 稜\, 森重 宣郷\, 柴田 直哉]","[関 岳人\, 二塚 俊洋\, 新井 雅樹\, 松原 稜\, 森重 宣郷\, 柴田 直哉]",柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,柴田超原子分解能電子顕微鏡プロジェクト第2回公開シンポジウム,2025-10-17,null,null,false,jpn,oral_presentation,null,null,"東京大学, 東京都","東京大学, 東京都",null,null,null,false,null,null,null,false,closed
insert,merge,null,52075821,GaN系半導体中の転位電荷観察手法の開発,GaN系半導体中の転位電荷観察手法の開発,"[小柳津 歩夢\, 遠山 慧子\, 関 岳人\, 蟹谷 裕也\, 柴田 直哉]","[小柳津 歩夢\, 遠山 慧子\, 関 岳人\, 蟹谷 裕也\, 柴田 直哉]",日本金属学会秋期講演大会,日本金属学会秋期講演大会,2025-09-20,null,null,false,jpn,oral_presentation,null,null,"北海道大学, 北海道","北海道大学, 北海道",null,null,null,false,null,https://pub.confit.atlas.jp/ja/event/jimm2025autumn,null,false,closed
insert,merge,null,52075817,"DPC STEMによるナノ結晶軟磁性材料の磁壁構造と局所磁気定数の定量解析","DPC STEMによるナノ結晶軟磁性材料の磁壁構造と局所磁気定数の定量解析","[許 マイケル\, 関 岳人\, 太田 元基\, 河野 祐二\, 柴田 直哉]","[許 マイケル\, 関 岳人\, 太田 元基\, 河野 祐二\, 柴田 直哉]",日本金属学会秋期講演大会,日本金属学会秋期講演大会,2025-09-18,null,null,false,jpn,oral_presentation,null,null,"北海道大学, 北海道","北海道大学, 北海道",null,null,null,false,null,https://pub.confit.atlas.jp/ja/event/jimm2025autumn,null,false,closed
insert,merge,null,52075814,走査透過電子顕微鏡法の開発と材料研究への応用,走査透過電子顕微鏡法の開発と材料研究への応用,"[関 岳人]","[関 岳人]",富士フイルム解析技術センターセミナー,富士フイルム解析技術センターセミナー,2025-09-09,null,null,true,jpn,invited_oral_presentation,null,null,"富士フイルム足柄サイト, 神奈川県","富士フイルム足柄サイト, 神奈川県",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,52075808,微分位相コントラストSTEMによる半導体界面の電場・電荷直接観察,微分位相コントラストSTEMによる半導体界面の電場・電荷直接観察,"[遠山 慧子\, 関 岳人\, 柴田 直哉]","[遠山 慧子\, 関 岳人\, 柴田 直哉]",応用物理学会秋季学術講演会,応用物理学会秋季学術講演会,2025-09-09,null,null,true,jpn,invited_oral_presentation,null,null,"名城大学, 愛知県","名城大学, 愛知県",null,null,null,false,null,https://meeting.jsap.or.jp/,null,false,closed
insert,merge,null,52075822,"Development of a method for observing dislocation charges in semiconductors","Development of a method for observing dislocation charges in semiconductors","[Ayumu Oyaizu\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","[Ayumu Oyaizu\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","IAMNano 2025","IAMNano 2025",2025-08-20,null,null,false,eng,poster_presentation,null,null,"Chalmers University of Technology, Gotenburg","Chalmers University of Technology, Gotenburg",null,null,null,true,null,https://www.chalmers.se/en/conference/iamnano-2025/,null,false,closed
insert,merge,null,52075813,走査透過電子顕微鏡法の新展開と材料解析への応用,走査透過電子顕微鏡法の新展開と材料解析への応用,"[関 岳人]","[関 岳人]",日本放射光学会若手研究会,日本放射光学会若手研究会,2025-08-20,null,null,true,jpn,invited_oral_presentation,null,null,"高エネルギー加速器研究所つくばキャンパス, 茨城県","高エネルギー加速器研究所つくばキャンパス, 茨城県",null,null,null,false,null,https://jssrr.smoosy.atlas.jp/ja/notices/wakate_17,null,false,disclosed
insert,merge,null,52075823,"Towards direct visualization of dislocation charges in semiconductors","Towards direct visualization of dislocation charges in semiconductors","[Ayumu Oyaizu\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","[Ayumu Oyaizu\, Satoko Toyama\, Takehito Seki\, Naoya Shibata]","3rd Advanced Electron Microscopy Workshop for Young Scientists","3rd Advanced Electron Microscopy Workshop for Young Scientists",2025-08-19,null,null,false,eng,oral_presentation,null,null,"Chalmers University of Technology, Gotenburg","Chalmers University of Technology, Gotenburg",null,null,null,true,null,null,null,false,closed
insert,merge,null,52075812,走査透過電子顕微鏡法の基礎,走査透過電子顕微鏡法の基礎,"[関 岳人]","[関 岳人]",豊洲会議2025,豊洲会議2025,2025-08-18,null,null,true,jpn,invited_oral_presentation,null,null,"芝浦工業大学豊洲キャンパス, 東京都","芝浦工業大学豊洲キャンパス, 東京都",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,52075811,"Expanding the Possibilities of Scanning Transmission Electron Microscopy","Expanding the Possibilities of Scanning Transmission Electron Microscopy","[Takehito Seki]","[Takehito Seki]","RIKEN CEMS Seminar","RIKEN CEMS Seminar",2025-06-26,null,null,true,eng,invited_oral_presentation,null,null,"理化学研究所和光地区, 埼玉県","理化学研究所和光地区, 埼玉県",null,null,null,false,null,null,null,false,disclosed
insert,merge,null,52075824,"OBF STEM法における検出器分割形状の理論的検討","OBF STEM法における検出器分割形状の理論的検討","[山下 達也\, 関 岳人\, 柴田 直哉]","[山下 達也\, 関 岳人\, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2025-06-11,null,null,false,jpn,oral_presentation,null,null,"福岡国際会議場, 福岡県","福岡国際会議場, 福岡県",null,null,null,false,null,null,null,false,closed
insert,merge,null,52075815,"DPC STEMによるナノ結晶軟磁性材料の磁壁移動観察","DPC STEMによるナノ結晶軟磁性材料の磁壁移動観察","[許 マイケル\, 関 岳人\, 太田 元基\, 河野 祐二\, 柴田 直哉]","[許 マイケル\, 関 岳人\, 太田 元基\, 河野 祐二\, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2025-06-11,null,null,false,jpn,oral_presentation,null,null,"福岡国際会議場, 福岡県","福岡国際会議場, 福岡県",null,null,null,false,null,https://conference.wdc-jp.com/microscopy/conf2025/,null,false,closed
insert,merge,null,52075810,"磁場フリー STEM 観察と理論計算による鉄鋼粒界の原子構造ゆらぎの解明","磁場フリー STEM 観察と理論計算による鉄鋼粒界の原子構造ゆらぎの解明","[新井 雅樹\, 二塚 俊洋\, 関 岳人\, 松原 稜\, 森重 宣郷\, 幾原 雄一\, 柴田 直哉]","[新井 雅樹\, 二塚 俊洋\, 関 岳人\, 松原 稜\, 森重 宣郷\, 幾原 雄一\, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2025-06-11,null,null,false,jpn,oral_presentation,null,null,"福岡国際会議場, 福岡県","福岡国際会議場, 福岡県",null,null,null,false,null,https://conference.wdc-jp.com/microscopy/conf2025/,null,false,closed
insert,merge,null,52075820,ピクセル型検出器を用いたライブOBFイメージングの実現と応用,ピクセル型検出器を用いたライブOBFイメージングの実現と応用,"[田畑 浩大\, 河野 祐二\, 関 岳人\, 幾原 雄一\, 柴田 直哉]","[田畑 浩大\, 河野 祐二\, 関 岳人\, 幾原 雄一\, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2025-06-09,null,null,false,jpn,oral_presentation,null,null,"福岡国際会議場, 福岡県","福岡国際会議場, 福岡県",null,null,null,false,null,null,null,false,closed
insert,merge,null,52075819,GaN系半導体中の転位電荷観察手法の開発,GaN系半導体中の転位電荷観察手法の開発,"[小柳津 歩夢\, 遠山 慧子\, 関 岳人\, 蟹谷 裕也\, 柴田 直哉]","[小柳津 歩夢\, 遠山 慧子\, 関 岳人\, 蟹谷 裕也\, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2025-06-09,null,null,false,jpn,oral_presentation,null,null,"福岡国際会議場, 福岡県","福岡国際会議場, 福岡県",null,null,null,false,null,null,null,false,closed
insert,merge,null,52075818,４次元ＳＴＥＭデータに基づく収差測定法の開発,４次元ＳＴＥＭデータに基づく収差測定法の開発,"[大江 宏内介\, 田畑 浩大\, 関 岳人\, 柴田 直哉]","[大江 宏内介\, 田畑 浩大\, 関 岳人\, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2025-06-09,null,null,false,jpn,oral_presentation,null,null,"福岡国際会議場, 福岡県","福岡国際会議場, 福岡県",null,null,null,false,null,null,null,false,closed
insert,merge,null,52075809,"DPC STEMを用いた強磁性準結晶の磁壁厚み測定","DPC STEMを用いた強磁性準結晶の磁壁厚み測定","[岩田 健史\, 関 岳人\, 石川 明日香\, 田村 隆治\, 河野 祐二\, 柴田 直哉]","[岩田 健史\, 関 岳人\, 石川 明日香\, 田村 隆治\, 河野 祐二\, 柴田 直哉]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2025-06-09,null,null,false,jpn,poster_presentation,null,null,"福岡国際会議場, 福岡県","福岡国際会議場, 福岡県",null,null,null,false,null,https://conference.wdc-jp.com/microscopy/conf2025/,null,false,closed
insert,merge,null,52075807,"Real-Space Electromagnetic Field Mapping at Crystal Interfaces Using Tilt-Scan-Averaged DPC STEM","Real-Space Electromagnetic Field Mapping at Crystal Interfaces Using Tilt-Scan-Averaged DPC STEM","[Satoko Toyama\, Takehito Seki\, Naoya Shibata]","[Satoko Toyama\, Takehito Seki\, Naoya Shibata]",日本顕微鏡学会学術講演会,日本顕微鏡学会学術講演会,2025-06-09,null,null,true,eng,invited_oral_presentation,null,null,"福岡国際会議場, 福岡県","福岡国際会議場, 福岡県",null,null,null,false,null,https://conference.wdc-jp.com/microscopy/conf2025/,null,false,closed
insert,merge,null,52075816,"In Situ DPC STEM and Simulation of Domain Wall Motion in Nanocrystalline Soft Magnets","In Situ DPC STEM and Simulation of Domain Wall Motion in Nanocrystalline Soft Magnets","[Michael Xu\, Takehito Seki\, Motoki Ohta\, Yuji Kohno\, Naoya Shibata]","[Michael Xu\, Takehito Seki\, Motoki Ohta\, Yuji Kohno\, Naoya Shibata]","5th International Workshop on In Situ Electron Microscopy","5th International Workshop on In Situ Electron Microscopy",2025-05-13,null,null,false,eng,poster_presentation,null,null,"Porto, Portugal","Porto, Portugal",null,null,null,true,null,https://www.insitutem2025.com/,null,false,closed
insert,merge,null,48511769,"Advancing OBF STEM for High-throughput Low-dose Imaging","Advancing OBF STEM for High-throughput Low-dose Imaging","[Takehito Seki]","[Takehito Seki]","The 13th Asia Pacific Microscopy Congress","The 13th Asia Pacific Microscopy Congress",2025-02-06,2025-02-03,null,true,eng,invited_oral_presentation,null,null,null,null,AUS,null,null,true,null,null,null,false,disclosed
insert,merge,null,48500645,"Developing STEM Techniques with Segmented Detectors and Exploring Pixelated Detector Applications","Developing STEM Techniques with Segmented Detectors and Exploring Pixelated Detector Applications","[Takehito Seki]","[Takehito Seki]","The 2nd China 4D-STEM Forum","The 2nd China 4D-STEM Forum",2024-12-09,null,null,true,eng,invited_oral_presentation,null,null,Online,Online,CHN,null,null,true,null,null,null,false,disclosed
insert,merge,null,48484833,"Advancing Scanning Transmission Electron Microscopy Through Instrumentation and Technique Development","Advancing Scanning Transmission Electron Microscopy Through Instrumentation and Technique Development","[Takehito Seki]","[Takehito Seki]","Hong Kong Advanced Transmission Electron Microscopy 2024","Hong Kong Advanced Transmission Electron Microscopy 2024",2024-11-16,null,null,true,eng,invited_oral_presentation,null,null,"Hong Kong","Hong Kong",CHN,null,null,true,null,https://events.polyu.edu.hk/hkadvem2024/home,null,false,disclosed
insert,merge,null,48397750,STEM位相イメージング法の最近の展開,STEM位相イメージング法の最近の展開,"[関 岳人\, 柴田 直哉]","[関 岳人\, 柴田 直哉]",日本顕微鏡学会シンポジウム,日本顕微鏡学会シンポジウム,2024-11-03,null,null,true,jpn,invited_oral_presentation,null,null,"北海道大学, 北海道","北海道大学, 北海道",null,null,null,false,null,https://conference.wdc-jp.com/microscopy/sympo/67th/,null,false,disclosed
insert,merge,null,48397744,"In situ biasing DPC STEM observation of p-n junction depletion layers","In situ biasing DPC STEM observation of p-n junction depletion layers","[Yoshifumi Kojima\, Satoko Toyama\, Takehito Seki\, Yuichi Ikuhara\, Naoya Shibata]","[Yoshifumi Kojima\, Satoko Toyama\, Takehito Seki\, Yuichi Ikuhara\, Naoya Shibata]","FEMMS 2024","FEMMS 2024",2024-09-30,null,null,false,eng,poster_presentation,null,null,"Catania, Italy","Catania, Italy",null,null,null,true,null,https://femms2024.it/,null,false,closed
insert,merge,null,48397741,走査透過電子顕微鏡によるクラスレート中のラットリング運動の直接観察,走査透過電子顕微鏡によるクラスレート中のラットリング運動の直接観察,"[田畑 浩大\, 関 岳人\, 幾原 雄一\, 柴田 直哉]","[田畑 浩大\, 関 岳人\, 幾原 雄一\, 柴田 直哉]",日本熱電学会学術講演会,日本熱電学会学術講演会,2024-09-24,null,null,false,jpn,oral_presentation,null,null,産業総合研究所，茨城県,産業総合研究所，茨城県,null,null,null,false,null,https://www.thermoelectrics.jp/conference.html,null,false,closed
insert,merge,null,48397740,走査透過電子顕微鏡による局所原子振動計測の検討,走査透過電子顕微鏡による局所原子振動計測の検討,"[田畑 浩大\, 関 岳人\, 幾原 雄一\, 柴田 直哉]","[田畑 浩大\, 関 岳人\, 幾原 雄一\, 柴田 直哉]",日本金属学会秋期講演大会,日本金属学会秋期講演大会,2024-09-19,null,null,false,jpn,oral_presentation,null,null,大阪大学，大阪府,大阪大学，大阪府,null,null,null,false,null,https://confit.atlas.jp/guide/event/jimm2024autumn/top?lang=ja,null,false,closed
insert,merge,null,48397743,"電圧印加その場DPC STEMによるpn接合空乏層の電場応答解析","電圧印加その場DPC STEMによるpn接合空乏層の電場応答解析","[小島 嘉文\, 遠山 慧子\, 関 岳人\, 幾原 雄一\, 柴田 直哉]","[小島 嘉文\, 遠山 慧子\, 関 岳人\, 幾原 雄一\, 柴田 直哉]",日本金属学会秋期講演大会,日本金属学会秋期講演大会,2024-09-18,null,null,false,jpn,oral_presentation,null,null,大阪大学，大阪府,大阪大学，大阪府,null,null,null,false,null,https://confit.atlas.jp/guide/event/jimm2024autumn/top?lang=ja,null,false,closed
insert,merge,null,48397748,構造揺らぎを持ったケイ素鋼粒界に対するSTEM直接観察と理論計算による解析,構造揺らぎを持ったケイ素鋼粒界に対するSTEM直接観察と理論計算による解析,"[新井 雅樹\, 二塚 俊洋\, 関 岳人\, 森重 宣郷\, 松原 稜\, 幾原 雄一\, 柴田 直哉]","[新井 雅樹\, 二塚 俊洋\, 関 岳人\, 森重 宣郷\, 松原 稜\, 幾原 雄一\, 柴田 直哉]",日本物理学会年次大会,日本物理学会年次大会,2024-09-17,null,null,false,jpn,oral_presentation,null,null,"北海道大学, 北海道","北海道大学, 北海道",null,null,null,false,null,https://www.jps.or.jp/activities/meetings/annual/annual-index.php,null,false,closed
insert,merge,null,48397745,構造揺らぎを有するFe粒界の自由エネルギー理論解析,構造揺らぎを有するFe粒界の自由エネルギー理論解析,"[二塚 俊洋\, 新井 雅樹\, 関 岳人\, 森重 宣郷\, 松原 稜\, 幾原 雄一\, 柴田 直哉]","[二塚 俊洋\, 新井 雅樹\, 関 岳人\, 森重 宣郷\, 松原 稜\, 幾原 雄一\, 柴田 直哉]",日本物理学会第79回年次大会,日本物理学会第79回年次大会,2024-09-17,null,null,false,jpn,oral_presentation,null,null,"北海道大学, 北海道","北海道大学, 北海道",null,null,null,false,true,https://www.jps.or.jp/activities/meetings/annual/annual-index.php,null,false,closed
insert,merge,null,48397734,"DPC STEMを用いた強磁性準結晶の局所磁区構造観察","DPC STEMを用いた強磁性準結晶の局所磁区構造観察","[岩田 健史\, 関 岳人\, 石川 明日香\, 田村 隆治\, 河野 裕二\, 幾原 雄一\, 柴田 直哉]","[岩田 健史\, 関 岳人\, 石川 明日香\, 田村 隆治\, 河野 裕二\, 幾原 雄一\, 柴田 直哉]",日本物理学会年次大会,日本物理学会年次大会,2024-09-17,null,null,false,jpn,oral_presentation,null,null,"北海道大学, 北海道","北海道大学, 北海道",null,null,null,false,null,https://www.jps.or.jp/activities/meetings/annual/annual-index.php,null,false,closed
insert,merge,null,48397730,電子顕微鏡による材料観察技術の最先端,電子顕微鏡による材料観察技術の最先端,"[関 岳人]","[関 岳人]",先端電子顕微鏡分析技術講演会,先端電子顕微鏡分析技術講演会,2024-08-20,null,null,true,jpn,invited_oral_presentation,null,null,TDK株式会社八幡テクニカルセンター,TDK株式会社八幡テクニカルセンター,null,null,null,false,true,null,null,false,disclosed
insert,merge,null,48397731,"Towards High-throughput Low Dose Observation by OBF STEM","Towards High-throughput Low Dose Observation by OBF STEM","[Takehito Seki\, Mitsuru Nogami\, Kousuke Ooe\, Yuichi Ikuhara\, Naoya Shibata]","[Takehito Seki\, Mitsuru Nogami\, Kousuke Ooe\, Yuichi Ikuhara\, Naoya Shibata]","Microscopy & Microanalysis 2024","Microscopy & Microanalysis 2024",2024-07-31,null,null,false,eng,oral_presentation,null,null,"Cleveland, US","Cleveland, US",null,null,null,true,null,https://mmconference.microscopy.org/,null,false,closed
insert,merge,null,48397738,"Towards quantitative measurements of atomic vibrations with multi-dimensional STEM detectors","Towards quantitative measurements of atomic vibrations with multi-dimensional STEM detectors","[Koudai Tabata\, Takehito Seki\, Yuichi Ikuhara\, Naoya Shibata]","[Koudai Tabata\, Takehito Seki\, Yuichi Ikuhara\, Naoya Shibata]","Microscopy & Microanalysis 2024","Microscopy & Microanalysis 2024",2024-07-29,null,null,false,eng,poster_presentation,null,null,"Cleveland, US","Cleveland, US",null,null,null,true,null,https://mmconference.microscopy.org/,null,false,closed
insert,merge,null,48397747,"Investigating atomic structures in silicon steel grain boundaries by STEM observations and theoretical calculations","Investigating atomic structures in silicon steel grain boundaries by STEM observations and theoretical calculations","[Masaki Arai\, Toshihiro Futazuka\, Takehito Seki\, Nobusato Morishige\, Ryo Matsubara\, Yuichi Ikuhara\, Naoya Shibata]","[Masaki Arai\, Toshihiro Futazuka\, Takehito Seki\, Nobusato Morishige\, Ryo Matsubara\, Yuichi Ikuhara\, Naoya Shibata]","17th International conference on intergranular and interphase boundaries in materials","17th International conference on intergranular and interphase boundaries in materials",2024-07-17,null,null,false,eng,poster_presentation,null,null,"Beijing, China","Beijing, China",null,null,null,true,null,null,null,false,closed
